crop	0	0	450	150	0	0	ffffff	/pictures/log/starfield/a.png
draw	25	0	425	150	/pictures/log/ares-returns.png
crop	0	150	450	238	0	150	ffffff	/pictures/log/starfield/a.png
	6	152	13	172	32	100	ff0000	/fonts/title.png
	13		20		64	120		
	20		27		40			
	34		41			80		
	41		48		8	120		
	48		55		16	140		
	55		62		32			
	62		69		64	120		
	76		83		72	140		
	83		90		120	120		
	90		97		40	140		
	104		111		96	120		
	111		118		40			
	118		125		48			
	125		132		32	140		
	139		146		120	120		
	146		153		48	140		
	153		160		40	120		
	160		167		16	140		
	174		181		120	120		
	181		188		112			
	188		195		40			
	202		209		64			
	209		216		40	140		
	216		223		112	120		
	223		230		32			
	230		237		16	140		
	237		244		40	120		
	244		251		32			
	258		265		8			
	265		272		112			
	272		279		32			
	286		293		48			
	293		300		72			
	300		307		48			
	307		314		32	140		
	314		321		72			
	328		335					
	335		342		40	120		
	342		349		8			
	349		356		16	140		
	356		363		24			
	370		377		8	120		
	377		384		56			
	384		391		120			
	398		405		72			
	405		412		24	140		
	6	174	13	194	56	120		
	13		20		16	140		
	20		27		40	120		
	27		34		8			
	34		41		32	140		
	41		48		96	120		
	48		55		72	140		
	62		69		24	120		
	69		76		64			
	76		83		8			
	83		90		112			
	90		97		56			
	97		104		40			
	104		111		32			
	111		118		112	40		
	125		132		32	100		
	132		139		64	120		
	139		146		40			
	153		160		0	140		
	160		167		40	120		
	167		174		120			
	174		181		0	140		
	181		188		96	120		
	188		195		40			
	202		209		72	140		
	209		216		120	120		
	216		223		40	140		
	230		237		88	120		
	237		244		112			
	244		251		40			
	251		258		56	140		
	265		272		8	120		
	272		279		16	140		
	279		286		40	120		
	293		300		96			
	300		307		120			
	307		314		112			
	314		321		56			
	328		335		24	140		
	335		342		72	120		
	342		349		112			
	349		356		24			
	356		363		40			
	370		377		32			
	377		384		40			
	384		391		8			
	391		398		32			
	398		405		96	40		
	412		419		8	120		
	419		426		112			
	426		433		32			
	6	196	13	216		140		
	13		20		64	120		
	20		27		40			
	34		41		0	140		
	41		48		96	120		
	48		55		8			
	55		62		24			
	62		69		40			
	76		83		72	140		
	83		90		120	120		
