line	458	329	458	329	808080
	561	274	561	274	
	207	229	207	229	d0d0d0
	160	291	160	291	808080
	508	24	508	24	d0d0d0
	564	101	564	100	b0b0b0
	315	222	315	222	808080
	294	187	294	187	d0d0d0
	560	408	560	408	808080
	448	329	448	329	
	547	157	547	157	d0d0d0
	185	273	185	273	
	382	221	382	221	b0b0b0
	280	179	280	179	d0d0d0
	537	124	537	124	808080
	140	231	140	231	
	551	160	551	160	b0b0b0
	511	144	511	144	808080
	493	421	494	421	
	417	479	417	479	
	527	22	527	22	
	526	301	526	301	d0d0d0
	238	185	238	185	808080
	372	67	372	67	d0d0d0
	334	89	334	89	808080
	463	43	463	43	d0d0d0
	273	350	273	350	808080
	549	78	549	78	d0d0d0
	202	69	202	69	808080
	135	168	135	168	
	243	334	243	334	
	247	435	247	435	d0d0d0
	241	269	241	269	808080
	422	341	422	341	
	326	385	326	385	
	233	21	233	21	
	480	168	480	168	b0b0b0
	599	414	599	414	
	410	442	410	442	808080
	178	215	178	215	
	567	414	567	414	b0b0b0
	302	405	302	405	
	231	79	231	79	
	133	424	133	424	
	293	137	293	137	
	550	293	550	292	d0d0d0
	393	413	393	413	808080
	457	447	457	447	
	171	16	171	16	d0d0d0
	237	264	237	264	b0b0b0
	129	461	129	461	d0d0d0
	511	438	511	438	b0b0b0
	603	105	603	105	808080
	564	333	564	332	b0b0b0
	570	222	570	222	
	366	40	366	40	808080
	209	22	209	22	b0b0b0
	462	81	462	81	d0d0d0
	346	213	346	213	808080
	585	367	585	367	
	402	448	402	448	b0b0b0
		255		255	
	406		406		808080
	321	201	321	201	b0b0b0
	172	259	172	259	808080
	456	238	456	238	b0b0b0
	263	310	263	310	d0d0d0
	596	128	596	128	808080
	447	399	447	399	
	510	298	510	298	d0d0d0
	248	478	248	478	b0b0b0
	393	397	393	397	808080
	540	341	540	341	b0b0b0
	129	270	129	270	808080
	524	66	524	66	
	134	197	134	197	
	369	133	369	133	d0d0d0
	446	253	446	253	808080
	374	448	374	448	
	559	247	559	247	d0d0d0
	318	362	318	362	808080
	556	90	556	90	
	162	37	163	37	
	570	29	570	29	d0d0d0
	601	243	602	243	
	378	255	378	255	808080
	600	252	600	252	d0d0d0
	180	393	180	393	808080
	265	206	265	206	b0b0b0
	487	479	487	479	
	354	203	354	203	
	200	303	200	302	d0d0d0
	538	405	538	405	b0b0b0
	541	379	542	379	
	495	239	495	239	808080
	141	173	141	173	
	167	283	167	283	
	597	320	597	320	
	169	222	169	222	
	600	232	600	232	
	199	81	199	81	b0b0b0
	260	245	260	245	
	266	445	266	445	808080
	481	186	481	186	d0d0d0
	512	26	512	26	
	360	345	360	345	808080
	266	228	266	228	d0d0d0
	376	300	376	300	808080
	557	455	557	455	b0b0b0
	303	331	303	331	d0d0d0
	153	402	153	402	b0b0b0
	484	335	484	335	
	171	433	171	432	d0d0d0
	409	224	409	224	808080
	268	271	268	271	b0b0b0
	521	68	522	68	
	250	424	250	424	808080
	403	210	403	210	b0b0b0
	507	143	507	143	d0d0d0
	437	364	437	364	
	482	276	482	276	b0b0b0
	584	293	584	293	808080
	159	91	159	91	
	537	291	537	291	
	275	378	275	378	d0d0d0
	219	0	219	480	005000
	371		371		
	523		523		
	128	70	608	70	
		222		222	
		374		374	
rect	336	232	352	248	009000
	555	67	571	83	900000
triangle	363	235	371	243	00c000
	519	101	527	109	c00000
plus	516	102	524	110	c00000
	449	153	457	161	00c000
triangle	530	89	542	101	c00000
rect	450	154	456	160	00c000
	561	71	567	77	c00000
triangle	559	71	567	79	c00000
	490	115	498	123	
	358	238	366	246	00c000
plus	345	229	355	239	00c000
	493	113	503	123	c00000
triangle	357	239	365	247	00c000
	559	70	567	78	c00000
	359	238	367	246	00c000
	360	236	368	244	
	359	237	367	245	
rect	334	250	336	252	c00000
	353	241	355	243	
	384	268	386	270	
dither	453	137	571	154	001830
tint	457	141	465	153	000000	/font/5000/46
	464		472			/font/5000/6c
	471		479			/font/5000/61
	478		486			/font/5000/6b
	485		493			/font/5000/20
	492		500			/font/5000/44
	499		507			/font/5000/72
	506		514			/font/5000/6f
	513		521			/font/5000/6e
	520		528			/font/5000/65
	527		535			/font/5000/20
